Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Hcost
DUBAI HEALTHCARE CITY - PHASE 2,Unit,Flat,336000,52.88,52.88,Studio,0.55
DUBAI MARINA,Unit,Flat,678400,72.28,72.28,1 B/R,0.58
Zaabeel Second,Unit,Flat,481766,68.81,68.81,1 B/R,0.21
BUSINESS BAY,Unit,Flat,1004880,78.48,78.48,1 B/R,0.03
EMIRATE LIVING,Building,Villa,1136872.75,255.12,255.12,3 B/R,0.54
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,288000,38.43,38.43,Studio,0.06
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,820000,126.63,126.63,2 B/R,0.26
BUSINESS BAY,Unit,Flat,1500000,82.63,82.63,1 B/R,0.44
AL FURJAN,Building,Villa,1950000,181.3,181.3,3 B/R,0.48
MEYDAN AVENUE,Unit,Flat,1598737,227.18,227.18,2 B/R,0.45
DAMAC HILLS,Unit,Flat,645038,79.16,79.16,1 B/R,0.4
JUMEIRAH LAKES TOWERS,Unit,Flat,580000,72.93,72.93,1 B/R,0.27
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,540000,89.69,89.69,2 B/R,0.11
JUMEIRAH PARK,Building,Villa,2035168,341.28,341.28,4 B/R,0.57
EMAAR SOUTH,Building,Villa,1314400,137.76,137.76,3 B/R,0.18
SERENA,Building,Villa,1960000,254.09,254.09,3 B/R,0.49
TOWN SQUARE,Building,Villa,1000000,202.5,202.5,3 B/R,0.38
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,820000,126.95,126.95,2 B/R,0.57
JUMEIRAH GOLF,Unit,Flat,1950400,167.85,167.85,3 B/R,0.39
AL FURJAN,Unit,Flat,894957.15,178.29,178.29,3 B/R,0.08
BURJ KHALIFA,Unit,Flat,1980000,110.32,110.32,2 B/R,0.57
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,820000,126.3,126.3,2 B/R,0.07
EMAAR SOUTH,Building,Villa,1000000,141.04,141.04,3 B/R,0.57
ARJAN,Unit,Flat,596960,54.55,54.55,1 B/R,0.31
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1329466,165.2,165.2,2 B/R,0.54
BUSINESS BAY,Unit,Flat,1229600,84.95,84.95,2 B/R,0.18
Zaabeel Second,Unit,Flat,2730000,151.22,151.22,3 B/R,0.18
MEYDAN AVENUE,Unit,Flat,599096,76.72,76.72,1 B/R,0.4
SOBHA HEARTLAND,Unit,Flat,2000000,137.43,137.43,3 B/R,0.07
ARJAN,Unit,Flat,1229600,129.28,129.28,2 B/R,0.24
SOBHA HEARTLAND,Unit,Flat,1200000,84.67,84.67,1 B/R,0.09
DUBAI HILLS,Unit,Flat,550000,66.9,66.9,2 B/R,0.17
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,410000,135.27,135.27,1 B/R,0.28
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,580000,98.5,98.5,1 B/R,0.5
EMAAR SOUTH,Building,Villa,1682060,245.97,245.97,4 B/R,0.08
MOTOR CITY,Unit,Flat,640000,97.73,97.73,1 B/R,0.32
MAJAN,Unit,Flat,450000,109.32,109.32,2 B/R,0.38
SOBHA HEARTLAND,Unit,Flat,4303600,375.41,375.41,4 B/R,0.14
DUBAI PRODUCTION CITY,Unit,Flat,476000,61.07,61.07,1 B/R,0.51
DISCOVERY GARDENS,Unit,Flat,551960,90,90,1 B/R,0.29
JUMEIRAH VILLAGE CIRCLE,Building,Villa,2232000,156,156,3 B/R,0.49
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,580000,98.5,98.5,1 B/R,0.42
PALM JUMEIRAH,Unit,Flat,1421000,194.74,194.74,2 B/R,0.29
DUBAI CREEK HARBOUR,Unit,Flat,920547,62.58,62.58,1 B/R,0.41
VILLANOVA,Building,Villa,2080000,230.17,230.17,4 B/R,0.27
THE GREENS,Unit,Flat,600000,73.18,73.18,1 B/R,0.55
DUBAI HARBOUR,Unit,Flat,1850000,129.55,129.55,2 B/R,0.18
Al Yelayiss 2,Building,Villa,1100000,190.82,190.82,3 B/R,0.52
AL FURJAN,Unit,Flat,923800,123.37,123.37,2 B/R,0.54
JADDAF WATERFRONT,Unit,Flat,1300000,136.88,136.88,2 B/R,0.06
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,580000,98.49,98.49,1 B/R,0.04
CITY WALK,Unit,Flat,2880000,181.61,181.61,2 B/R,0.08
SOBHA HEARTLAND,Unit,Flat,911625,73.09,73.09,2 B/R,0.57
JUMEIRAH LAKES TOWERS,Unit,Flat,1187200,133.08,133.08,1 B/R,0.26
BUSINESS BAY,Unit,Flat,1500000,145.76,145.76,2 B/R,0.53
EMIRATE LIVING,Building,Villa,1770000,298.13,298.13,2 B/R,0.15
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,424000,41.99,41.99,Studio,0.19
DUBAI MARINA,Unit,Flat,2040000,81.75,81.75,1 B/R,0.59
ARABIAN RANCHES III,Building,Villa,1625000,223.6,223.6,4 B/R,0.49
DUBAI MARINA,Unit,Flat,980313,138.5,138.5,2 B/R,0.3
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,987040,170.44,170.44,2 B/R,0.6
DUBAI MARINA,Unit,Flat,3307200,360.08,360.08,3 B/R,0.17
ARABIAN RANCHES II,Building,Villa,2120000,147.87,147.87,3 B/R,0.16
DUBAI SPORTS CITY,Unit,Flat,614800,92.46,92.46,2 B/R,0
EMAAR SOUTH,Building,Villa,1185510,305.65,305.65,4 B/R,0.36
EMAAR SOUTH,Building,Villa,1285000,137.76,137.76,3 B/R,0.03
REMRAAM,Unit,Flat,1127840,204.97,204.97,3 B/R,0.1
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,580000,98.53,98.53,1 B/R,0.29
BUSINESS BAY,Unit,Flat,1333328,119.19,119.19,2 B/R,0.09
THE GREENS,Unit,Flat,3169200,176.61,176.61,3 B/R,0.01
MIRA,Building,Villa,2400000,263.98,263.98,4 B/R,0.36
EMAAR SOUTH,Unit,Flat,1053504,155.81,155.81,2 B/R,0.05
DUBAI SOUTH,Building,Villa,2042240,150.42,150.42,3 B/R,0.47
DUBAI MARINA,Unit,Flat,792000,66.29,66.29,1 B/R,0.6
PALM JUMEIRAH,Unit,Flat,60000000,658.21,658.21,4 B/R,0.15
DUBAI HILLS,Building,Villa,3222400,194.93,194.93,3 B/R,0.01
CITY WALK,Unit,Flat,3028000,204.36,204.36,2 B/R,0.07
MIRA,Building,Villa,2000000,243,243,3 B/R,0.56
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,960000,78.56,78.56,1 B/R,0.25
THE GREENS,Unit,Flat,2000000,117.47,117.47,2 B/R,0.56
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,299625,41.71,41.71,Studio,0.57
CHERRYWOODS,Building,Villa,1996800,179.87,179.87,3 B/R,0.15
Al Kifaf,Unit,Flat,1014878,87.75,87.75,1 B/R,0.39
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,580000,98.66,98.66,1 B/R,0.26
VILLANOVA,Building,Villa,2000000,236.89,236.89,4 B/R,0.42
MBR DISTRICT 1,Unit,Flat,1500000,252.46,252.46,3 B/R,0.12
Al Yelayiss 2,Building,Villa,1085332,387.36,387.36,4 B/R,0.33
TOWN SQUARE,Unit,Flat,340038,99.34,99.34,1 B/R,0.12
TILAL AL GHAF,Building,Villa,2289600,140.42,140.42,3 B/R,0.35
DUBAI HILLS,Building,Villa,3976128,275.52,275.52,4 B/R,0.15
DUBAI PRODUCTION CITY,Unit,Flat,688000,73.09,73.09,1 B/R,0.37
DUBAI HEALTHCARE CITY - PHASE 2,Unit,Flat,664800,70.67,70.67,1 B/R,0.41
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,800000,128.38,128.38,2 B/R,0.39
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,690000,118.54,118.54,2 B/R,0.21
DUBAI CREEK HARBOUR,Unit,Flat,1431000,107.33,107.33,2 B/R,0.01
REMRAAM,Unit,Flat,530000,106.83,106.83,1 B/R,0.23
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,690000,121.96,121.96,2 B/R,0.58
TOWN SQUARE,Unit,Flat,1017000,130.84,130.84,3 B/R,0.32
DUBAI SCIENCE PARK,Unit,Flat,1068320,135.7,135.7,2 B/R,0.31
JUMEIRAH VILLAGE CIRCLE,Building,Villa,2465000,299.89,299.89,3 B/R,0.51
DUBAI SOUTH,Unit,Flat,657000,183.49,183.49,2 B/R,0.53
EMAAR SOUTH,Building,Villa,1318000,144.31,144.31,3 B/R,0.43
CITY WALK,Unit,Flat,2080000,119.21,119.21,1 B/R,0.14
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1160000,93.31,93.31,2 B/R,0.11
LIWAN,Unit,Flat,381600,78.05,78.05,1 B/R,0.58
BUSINESS BAY,Unit,Flat,820000,89.93,89.93,1 B/R,0.24
SUSTAINABLE CITY,Building,Villa,2432819,217.25,217.25,4 B/R,0.59
DUBAI HILLS,Unit,Flat,656775,44.9,44.9,1 B/R,0.04
BUSINESS BAY,Unit,Flat,690000,73.97,73.97,1 B/R,0.27
JUMEIRAH LAKES TOWERS,Unit,Flat,1180000,163.59,163.59,2 B/R,0.58
BUSINESS BAY,Unit,Flat,1060000,73.97,73.97,1 B/R,0.2
Mirdif,Unit,Flat,883000,185.42,185.42,3 B/R,0.06
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1112681,142.78,142.78,2 B/R,0.4
DUBAI SCIENCE PARK,Unit,Flat,560000,70.94,70.94,1 B/R,0.38
AL FURJAN,Unit,Flat,624000,75.84,75.84,1 B/R,0.41
DUBAI HILLS,Unit,Flat,1206400,69.11,69.11,2 B/R,0.58
DUBAI CREEK HARBOUR,Unit,Flat,1117010,62.87,62.87,1 B/R,0.18
REMRAAM,Unit,Flat,763200,139.19,139.19,2 B/R,0.31
JUMEIRAH VILLAGE TRIANGLE,Unit,Flat,514713,85,85,1 B/R,0.17
DUBAI HILLS,Unit,Flat,940000,44.59,44.59,1 B/R,0
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,695360,69.44,69.44,1 B/R,0.4
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,500400,81.96,81.96,1 B/R,0.17
DUBAI SCIENCE PARK,Unit,Flat,1025820,135.39,135.39,2 B/R,0.34
DUBAI HILLS,Building,Villa,2500000,288.52,288.52,4 B/R,0
BURJ KHALIFA,Unit,Flat,919062.5,61.06,61.06,1 B/R,0.44
Zaabeel Second,Unit,Flat,2100000,131.81,131.81,2 B/R,0.54
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,464000,77.14,77.14,1 B/R,0.02
DUBAI HILLS,Unit,Flat,600000,45.01,45.01,1 B/R,0.45
VILLANOVA,Building,Villa,1720000,161,161,3 B/R,0.12
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1232960,202.88,202.88,2 B/R,0.56
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,535500,73.81,73.81,1 B/R,0.33
BURJ KHALIFA,Unit,Flat,3200000,141.88,141.88,2 B/R,0.15
JUMEIRAH HEIGHTS,Unit,Flat,2547360,234.03,234.03,3 B/R,0.03
DUBAI CREEK HARBOUR,Unit,Flat,873554,100.26,100.26,2 B/R,0.33
PALM JUMEIRAH,Unit,Flat,2240000,147.63,147.63,2 B/R,0.08
PALM JUMEIRAH,Unit,Flat,8927016,301.94,301.94,3 B/R,0.02
DUBAI MARINA,Unit,Flat,2162400,99.11,99.11,2 B/R,0.5
MEYDAN ONE,Unit,Flat,589568,53.25,53.25,1 B/R,0.26
DUBAI SOUTH,Building,Villa,2035200,165.58,165.58,3 B/R,0.44
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,579600,119.53,119.53,2 B/R,0.17
REMRAAM,Unit,Flat,432000,62.67,62.67,1 B/R,0.51
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,805600,77.05,77.05,1 B/R,0.53
MEYDAN ONE,Unit,Flat,350000,42.38,42.38,Studio,0.14
JUMEIRAH VILLAGE TRIANGLE,Unit,Flat,398560,60.43,60.43,Studio,0.5
JUMEIRAH LAKES TOWERS,Unit,Flat,1840000,182.73,182.73,2 B/R,0.3
VILLANOVA,Building,Villa,2077600,201.22,201.22,3 B/R,0.44
DUBAI MARINA,Unit,Flat,2610000,360.96,360.96,3 B/R,0.01
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,713560,70.09,70.09,1 B/R,0.44
JUMEIRAH LAKES TOWERS,Unit,Flat,699798,89.29,89.29,2 B/R,0.31
DUBAI MARITIME CITY,Unit,Flat,1416160,92.2,92.2,1 B/R,0.28
ARJAN,Unit,Flat,445200,37.61,37.61,Studio,0.44
BURJ KHALIFA,Unit,Flat,900000,76.88,76.88,1 B/R,0.25
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,660000,68.83,68.83,1 B/R,0.34
BUSINESS BAY,Unit,Flat,975000,83.21,83.21,1 B/R,0.39
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,880000,137.6,137.6,2 B/R,0.03
INTERNATIONAL CITY PH 2 & 3,Unit,Flat,330720,61.39,61.39,1 B/R,0.59
DUBAI HILLS,Unit,Flat,1275246,69.06,69.06,2 B/R,0.24
BUSINESS BAY,Unit,Flat,811200,81.57,81.57,1 B/R,0.11
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1533363,157.73,157.73,2 B/R,0.14
DUBAI SOUTH,Unit,Flat,440000,65.22,65.22,1 B/R,0.26
MIRA,Building,Villa,2204800,285.56,285.56,3 B/R,0.11
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1050000,78.76,78.76,1 B/R,0
DUBAI CREEK HARBOUR,Unit,Flat,1200000,99.09,99.09,2 B/R,0.3
DUBAI PRODUCTION CITY,Unit,Flat,944666.26,108.1,108.1,2 B/R,0.01
DUBAI CREEK HARBOUR,Unit,Flat,1190000,62.97,62.97,1 B/R,0.18
DISCOVERY GARDENS,Unit,Flat,542720,90,90,1 B/R,0.54
JUMEIRAH VILLAGE CIRCLE,Building,Villa,1440000,135.2,135.2,3 B/R,0.39
DUBAI SPORTS CITY,Unit,Flat,856000,112.6,112.6,2 B/R,0.25
DUBAI SPORTS CITY,Unit,Flat,306000,38.62,38.62,Studio,0.41
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,555440,117.22,117.22,2 B/R,0.39
DUBAI HILLS,Building,Villa,3560000,201.88,201.88,4 B/R,0.14
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,760000,101.3,101.3,2 B/R,0.33
Al Yelayiss 2,Building,Villa,1950400,187.89,187.89,3 B/R,0.39
DAMAC HILLS,Unit,Flat,1933750,194.11,194.11,3 B/R,0.24
MEYDAN AVENUE,Unit,Flat,932800,79.15,79.15,1 B/R,0.12
DUBAI HILLS,Building,Villa,3815200,285,285,4 B/R,0
BURJ KHALIFA,Unit,Flat,3161945,247.27,247.27,3 B/R,0.15
Al Yelayiss 2,Building,Villa,718444,226.89,226.89,3 B/R,0.56
Al Yelayiss 2,Building,Villa,904000,187.92,187.92,3 B/R,0.44
BURJ KHALIFA,Unit,Flat,1456131,103.12,103.12,2 B/R,0.59
Al Yelayiss 2,Building,Villa,950444,292.61,292.61,4 B/R,0.24
DUBAI HILLS,Unit,Flat,1144800,62.09,62.09,1 B/R,0.31
REMRAAM,Unit,Flat,330000,107.69,107.69,1 B/R,0.13
DUBAI PRODUCTION CITY,Unit,Flat,1017685,110.72,110.72,2 B/R,0.27
AL FURJAN,Unit,Flat,742000,93.98,93.98,1 B/R,0.18
DUBAI SOUTH,Unit,Stacked Townhouses,1444320,302.44,302.44,3 B/R,0.35
INTERNATIONAL CITY PH 1,Unit,Flat,442000,82.03,82.03,1 B/R,0.55
DAMAC HILLS,Unit,Flat,1153280,123.74,123.74,2 B/R,0.23
LA MER,Building,Villa,5400000,253.37,253.37,3 B/R,0.08
INTERNATIONAL CITY PH 1,Unit,Flat,234000,37.53,37.53,1 B/R,0.1
Al Yelayiss 2,Building,Villa,1911600,187.92,187.92,3 B/R,0.15
INTERNATIONAL CITY PH 1,Unit,Flat,265000,42.46,42.46,1 B/R,0.09
DUBAI MARINA,Unit,Flat,2700000,194.15,194.15,3 B/R,0.13
INTERNATIONAL CITY PH 1,Unit,Flat,221000,41.11,41.11,Studio,0.07
INTERNATIONAL CITY PH 1,Unit,Flat,618000,117.24,117.24,2 B/R,0.45
INTERNATIONAL CITY PH 1,Unit,Flat,218000,40.59,40.59,Studio,0.47
INTERNATIONAL CITY PH 1,Unit,Flat,223000,41.51,41.51,Studio,0.26
INTERNATIONAL CITY PH 1,Unit,Flat,224000,41.57,41.57,Studio,0.13
INTERNATIONAL CITY PH 1,Unit,Flat,618000,117.24,117.24,2 B/R,0.47
INTERNATIONAL CITY PH 1,Unit,Flat,224000,41.57,41.57,Studio,0.09
INTERNATIONAL CITY PH 1,Unit,Flat,234000,37.53,37.53,1 B/R,0.2
INTERNATIONAL CITY PH 1,Unit,Flat,618000,117.24,117.24,2 B/R,0.45
INTERNATIONAL CITY PH 1,Unit,Flat,214000,39.7,39.7,Studio,0.12
DUBAI SPORTS CITY,Unit,Flat,680000,101.57,101.57,2 B/R,0.38
INTERNATIONAL CITY PH 1,Unit,Flat,265000,42.46,42.46,1 B/R,0.32
JUMEIRAH HEIGHTS,Unit,Flat,2030000,197.19,197.19,2 B/R,0.12
INTERNATIONAL CITY PH 1,Unit,Flat,265000,42.46,42.46,1 B/R,0.25
INTERNATIONAL CITY PH 1,Unit,Flat,217000,40.23,40.23,Studio,0.35
INTERNATIONAL CITY PH 1,Unit,Flat,443000,82.22,82.22,1 B/R,0.42
ARABIAN RANCHES I,Building,Villa,3201200,252.71,252.71,3 B/R,0.14
INTERNATIONAL CITY PH 1,Unit,Flat,234000,37.53,37.53,1 B/R,0.11
DUBAI SPORTS CITY,Unit,Flat,680000,101.57,101.57,2 B/R,0.11
DUBAI MARINA,Unit,Flat,3170000,280.8,280.8,4 B/R,0.14
INTERNATIONAL CITY PH 1,Unit,Flat,618000,117.24,117.24,2 B/R,0.02
BUSINESS BAY,Unit,Flat,736000,61.23,61.23,Studio,0.43
BURJ KHALIFA,Unit,Flat,2200000,130.44,130.44,2 B/R,0.25
DUBAI SPORTS CITY,Unit,Flat,530000,75.64,75.64,1 B/R,0.43
PALM JUMEIRAH,Unit,Flat,5500000,404.58,404.58,3 B/R,0.12
BURJ KHALIFA,Unit,Flat,1550000,76.86,76.86,1 B/R,0.25
DUBAI HILLS,Unit,Flat,2160000,120.56,120.56,2 B/R,0.6
PALM JUMEIRAH,Unit,Flat,4231520,158.79,158.79,2 B/R,0.1
INTERNATIONAL CITY PH 1,Unit,Flat,245000,43.77,43.77,Studio,0.17
BURJ KHALIFA,Unit,Flat,1179375,81.52,81.52,1 B/R,0.29
INTERNATIONAL CITY PH 1,Unit,Flat,234000,37.53,37.53,1 B/R,0.51
INTERNATIONAL CITY PH 1,Unit,Flat,442000,82.03,82.03,1 B/R,0.25
BURJ KHALIFA,Unit,Flat,955000,45.98,45.98,Studio,0.46
ARABIAN RANCHES I,Building,Villa,2056000,241.77,241.77,2 B/R,0.55
INTERNATIONAL CITY PH 1,Unit,Flat,443000,82.22,82.22,1 B/R,0.24
BUSINESS BAY,Unit,Flat,1920000,190.45,190.45,3 B/R,0.16
INTERNATIONAL CITY PH 1,Unit,Flat,265000,42.46,42.46,1 B/R,0.14
Al Kifaf,Unit,Flat,1401840,91.7,91.7,1 B/R,0.58
DUBAI SPORTS CITY,Unit,Flat,530000,75.64,75.64,1 B/R,0.59
DUBAI PRODUCTION CITY,Unit,Flat,576640,123,123,2 B/R,0.45
DUBAI MARINA,Unit,Flat,1150000,97.17,97.17,2 B/R,0.43
BURJ KHALIFA,Unit,Flat,955000,45.98,45.98,Studio,0.38
Wadi Al Safa 5,Building,Villa,2100000,256.04,256.04,4 B/R,0.04
Zaabeel Second,Unit,Flat,3135000,149.77,149.77,3 B/R,0.17
BURJ KHALIFA,Unit,Flat,915000,43.59,43.59,Studio,0.26
Al Yelayiss 2,Building,Villa,1800000,187.92,187.92,3 B/R,0.29
PALM JUMEIRAH,Unit,Flat,2883200,161.18,161.18,2 B/R,0.15
BURJ KHALIFA,Unit,Flat,1420000,85.69,85.69,1 B/R,0.44
BURJ KHALIFA,Unit,Flat,1005000,41.39,41.39,Studio,0.04
JUMEIRAH LAKES TOWERS,Unit,Flat,590720,61.78,61.78,1 B/R,0.25
THE GREENS,Unit,Flat,1066028,78.56,78.56,1 B/R,0.46
JUMEIRAH VILLAGE TRIANGLE,Unit,Flat,1441600,178.1,178.1,2 B/R,0.5
INTERNATIONAL CITY PH 1,Unit,Flat,232000,43.02,43.02,Studio,0.08
REMRAAM,Unit,Flat,680000,136.91,136.91,2 B/R,0.56
TOWN SQUARE,Unit,Flat,694480,93.11,93.11,2 B/R,0.13
DUBAI HILLS,Unit,Flat,1320000,69.34,69.34,2 B/R,0.1
DUBAI MARINA,Unit,Flat,1105000,78.13,78.13,1 B/R,0.31
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,424000,70.58,70.58,1 B/R,0.28
DUBAI MARINA,Unit,Flat,1035000,127.4,127.4,2 B/R,0.41
INTERNATIONAL CITY PH 1,Unit,Flat,234000,43.5,43.5,Studio,0.2
THE GREENS,Unit,Flat,2000000,127.93,127.93,2 B/R,0.56
BURJ KHALIFA,Unit,Flat,847373,94.2,94.2,1 B/R,0.36
DUBAI MARINA,Unit,Flat,1204160,144.93,144.93,2 B/R,0.4
BURJ KHALIFA,Unit,Flat,1568800,89.37,89.37,1 B/R,0.39
DUBAI SCIENCE PARK,Unit,Flat,1019200,135.39,135.39,2 B/R,0.3
CHERRYWOODS,Building,Villa,2268400,180,180,3 B/R,0.36
DUBAI SPORTS CITY,Unit,Flat,441000,86.8,86.8,2 B/R,0.03
DUBAI MARINA,Unit,Flat,1399200,60.42,60.42,1 B/R,0.18
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,918478,129.24,129.24,2 B/R,0.36
JUMEIRAH LAKES TOWERS,Unit,Flat,500000,76.32,76.32,1 B/R,0.38
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1148000,117.42,117.42,2 B/R,0.47
DUBAI SOUTH,Unit,Flat,816729,132.74,132.74,2 B/R,0.09
MEYDAN ONE,Unit,Flat,890400,64.83,64.83,1 B/R,0.4
DUBAI SOUTH,Unit,Flat,813150,133.21,133.21,2 B/R,0.34
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1060000,121.09,121.09,3 B/R,0.07
THE GREENS,Unit,Flat,1360000,121.97,121.97,2 B/R,0.29
DUBAI SOUTH,Building,Villa,1484000,129.48,129.48,2 B/R,0
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,998400,113.02,113.02,3 B/R,0.54
JUMEIRAH VILLAGE CIRCLE,Building,Villa,1928629.41,216.73,216.73,3 B/R,0.47
REMRAAM,Unit,Flat,771680,139.46,139.46,2 B/R,0.18
BURJ KHALIFA,Unit,Flat,1440000,77.25,77.25,1 B/R,0.17
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1916480,206.86,206.86,3 B/R,0.57
AL FURJAN,Unit,Flat,661440,76.75,76.75,1 B/R,0.57
DISCOVERY GARDENS,Unit,Flat,300000,49,49,Studio,0.57
DUBAI CREEK HARBOUR,Unit,Flat,494754,64.22,64.22,1 B/R,0.27
ARJAN,Unit,Flat,250000,37.72,37.72,Studio,0.01
JUMEIRAH LAKES TOWERS,Unit,Flat,1068860,123.98,123.98,2 B/R,0.57
DUBAI MARINA,Unit,Flat,600000,120.82,120.82,2 B/R,0.57
DUBAI SPORTS CITY,Unit,Flat,530000,75.64,75.64,1 B/R,0.38
GRAND VIEWS,Building,Villa,3203836,307.75,307.75,4 B/R,0.17
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,665600,64.75,64.75,1 B/R,0.52
JUMEIRAH LAKES TOWERS,Unit,Flat,1250000,157.01,157.01,2 B/R,0.1
JADDAF WATERFRONT,Unit,Flat,1362337.58,161.99,161.99,3 B/R,0.04
JUMEIRAH LAKES TOWERS,Unit,Flat,1105000,92.02,92.02,1 B/R,0.51
BUSINESS BAY,Unit,Flat,1300000,90.45,90.45,1 B/R,0.51
DUBAI HILLS,Unit,Flat,650000,85,85,1 B/R,0.08
CITY WALK,Unit,Flat,2486250,172.3,172.3,2 B/R,0.46
DUBAI CREEK HARBOUR,Unit,Flat,1662700,179.36,179.36,3 B/R,0.39
Al Yelayiss 2,Building,Villa,1740000,187.92,187.92,3 B/R,0.1
DUBAI PRODUCTION CITY,Unit,Flat,800000,96.96,96.96,2 B/R,0.51
ARABIAN RANCHES II,Building,Villa,1960000,140,140,3 B/R,0.31
DUBAI SOUTH,Unit,Flat,415520,59.24,59.24,1 B/R,0.32
DUBAI HILLS,Unit,Flat,1276561,67.68,67.68,2 B/R,0.58
VILLANOVA,Building,Villa,2035200,156.87,156.87,3 B/R,0.12
DUBAI SPORTS CITY,Unit,Flat,352750,41.61,41.61,Studio,0.55
EMAAR SOUTH,Building,Villa,930000,137.76,137.76,3 B/R,0.35
BUSINESS BAY,Unit,Flat,1136390,81.04,81.04,1 B/R,0.3
DUBAI MARINA,Unit,Flat,1229159,137.23,137.23,2 B/R,0.11
BURJ KHALIFA,Unit,Flat,3633750,242.47,242.47,3 B/R,0.19
EMIRATE LIVING,Building,Villa,2459200,232.06,232.06,2 B/R,0.29
TOWN SQUARE,Building,Villa,1720000,187.01,187.01,3 B/R,0.54
DUBAI MARINA,Unit,Flat,665600,65.78,65.78,1 B/R,0.13
PALM JUMEIRAH,Unit,Flat,5250000,266.93,266.93,2 B/R,0.01
PALM JUMEIRAH,Unit,Flat,5250000,266.93,266.93,2 B/R,0.12
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,299625,37.38,37.38,Studio,0.59
BURJ KHALIFA,Unit,Flat,1256250,81.82,81.82,1 B/R,0.4
BUSINESS BAY,Unit,Flat,1568800,146.6,146.6,2 B/R,0.07
DUBAI MARINA,Unit,Flat,2000000,238.33,238.33,3 B/R,0.22
GRAND VIEWS,Building,Villa,1500000,218.02,218.02,4 B/R,0.07
MIRA,Building,Villa,2120000,307.23,307.23,3 B/R,0.3
PALM JUMEIRAH,Unit,Flat,2912000,194.54,194.54,2 B/R,0.09
DUBAI MARINA,Unit,Flat,4187297,154.28,154.28,3 B/R,0.07
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,531356,82.32,82.32,1 B/R,0.54
AL FURJAN,Building,Villa,2840000,222.19,222.19,4 B/R,0.15
DUBAI HILLS,Unit,Flat,870000,60.85,60.85,1 B/R,0.42
DUBAI HILLS,Unit,Flat,990000,67.34,67.34,2 B/R,0.32
AL FURJAN,Unit,Flat,1029600,138.77,138.77,2 B/R,0.16
AL KHAIL HEIGHTS,Unit,Flat,463760,78.66,78.66,1 B/R,0.03
DUBAI PRODUCTION CITY,Unit,Flat,542720,59.21,59.21,1 B/R,0.23
ARJAN,Unit,Flat,763200,77.84,77.84,1 B/R,0.49
MOTOR CITY,Unit,Flat,400000,91.32,91.32,1 B/R,0.2
MOTOR CITY,Unit,Flat,1653600,273.04,273.04,3 B/R,0.5
BUSINESS BAY,Unit,Flat,2204800,208.47,208.47,PENTHOUSE,0.39
JUMEIRAH LAKES TOWERS,Unit,Flat,1136320,117.34,117.34,1 B/R,0.01
EMIRATE LIVING,Building,Villa,1494600,172.5,172.5,2 B/R,0.05
BUSINESS BAY,Unit,Flat,800000,84.33,84.33,1 B/R,0.53
DUBAI HILLS,Unit,Flat,1339840,87.13,87.13,2 B/R,0.5
